id_municipio,y_num_empresas,x_pib_total,x_pop_total
4216206.0,3029.0,7730884.966,52674.0
4216255.0,391.0,407938.473,6295.0
4216305.0,1866.0,1258894.574,32687.0
4216354.0,304.0,397288.552,4463.0
4216404.0,388.0,321117.268,8668.0
4216503.0,1330.0,1186502.208,25939.0
4216602.0,18581.0,14466880.637,270299.0
4216701.0,975.0,594284.453,14167.0
4216800.0,316.0,290139.317,8708.0
4216909.0,2136.0,1556977.839,24791.0
4217006.0,906.0,1048990.788,13509.0
4217105.0,274.0,125066.649,3405.0
4217154.0,87.0,52062.341,1781.0
4217204.0,3507.0,2534987.264,44330.0
4217253.0,249.0,112862.644,5776.0
4217303.0,615.0,610268.544,10265.0
4217402.0,1005.0,821542.207,20061.0
4217501.0,1136.0,1304972.868,18620.0
4217550.0,218.0,125602.535,3303.0
4217600.0,743.0,701825.896,13714.0
4217709.0,1971.0,1077546.186,29991.0
4217758.0,101.0,95897.508,2832.0
4217808.0,1345.0,935846.943,18310.0
4217907.0,440.0,622901.804,8143.0
4217956.0,96.0,78720.294,2329.0
4218004.0,3133.0,2976676.689,51592.0
4218103.0,276.0,156048.933,5386.0
4218202.0,3624.0,2594452.153,46099.0
4218251.0,325.0,276657.823,7342.0
4218301.0,640.0,1799355.844,19746.0
4218350.0,224.0,179962.764,3782.0
4218400.0,451.0,229972.69,7362.0
4218509.0,743.0,983840.809,8787.0
4218608.0,522.0,416086.077,7274.0
4218707.0,9009.0,5336570.929,110088.0
4218756.0,285.0,190289.439,4916.0
4218806.0,878.0,820536.127,13043.0
4218855.0,144.0,102217.779,2774.0
4218905.0,901.0,389361.974,10834.0
4218954.0,104.0,85176.109,2656.0
4219002.0,1242.0,1279368.707,20919.0
4219101.0,263.0,257604.939,3634.0
4219150.0,130.0,86743.421,2627.0
4219176.0,232.0,598894.605,4576.0
4219200.0,363.0,360332.404,6189.0
4219309.0,3966.0,3846541.252,55466.0
4219358.0,295.0,163976.322,5370.0
4219408.0,280.0,188824.137,4255.0
4219507.0,4780.0,2885926.279,51607.0
4219606.0,223.0,204112.474,3653.0
4219705.0,2137.0,1563334.946,31918.0
4219853.0,165.0,140182.265,3930.0
4220000.0,704.0,354556.83,15981.0
4300034.0,240.0,291050.785,4170.0
4300059.0,209.0,480667.73,3912.0
4300109.0,659.0,648342.377,16041.0
4300208.0,353.0,379621.821,6720.0
4300307.0,213.0,137865.214,6123.0
4300406.0,2889.0,2620665.238,72409.0
4300455.0,181.0,119787.123,3651.0
4300471.0,101.0,267475.401,1969.0
4300505.0,320.0,256623.881,7117.0
4300554.0,97.0,67859.366,1800.0
4300570.0,142.0,174453.624,3072.0
4300604.0,4955.0,3529383.792,187315.0
4300638.0,155.0,147333.482,5310.0
4300646.0,457.0,181655.19,7650.0
4300661.0,102.0,105227.878,1135.0
4300703.0,397.0,295481.46,5957.0
4300802.0,1117.0,821731.524,13045.0
4300851.0,219.0,233906.639,4112.0
4300877.0,404.0,289317.344,8525.0
4300901.0,423.0,1178832.186,6483.0
4301008.0,1632.0,1781075.948,21958.0
4301057.0,756.0,308206.172,11057.0
4301073.0,81.0,79174.433,2599.0
4301107.0,576.0,358088.045,14601.0
4301206.0,554.0,403055.375,12058.0
4301305.0,747.0,1005950.314,17558.0
4301404.0,698.0,346013.892,10322.0
4301503.0,441.0,343697.009,7149.0
4301552.0,227.0,155194.591,3396.0
4301602.0,4459.0,4135744.096,117938.0
4301636.0,507.0,332681.911,14955.0
4301651.0,398.0,319646.661,6461.0
4301701.0,612.0,303205.593,7144.0
4301750.0,187.0,157243.887,5889.0
4301800.0,233.0,253629.721,4831.0
4301859.0,89.0,50753.232,3161.0
4301875.0,183.0,231623.353,4241.0
4301909.0,568.0,489177.966,12225.0
4301925.0,67.0,70523.093,1696.0
4301958.0,171.0,158838.702,2498.0
4302006.0,319.0,222738.646,9296.0
4302055.0,65.0,45886.157,2082.0
4302105.0,10827.0,7759739.076,123151.0
4302154.0,153.0,162523.335,1933.0
4302204.0,751.0,313737.359,6966.0
4302220.0,83.0,230224.212,2229.0
4302238.0,104.0,194650.644,2271.0
4302253.0,134.0,128281.986,2779.0
4302303.0,519.0,432191.386,11202.0
4302352.0,1191.0,865227.057,13142.0
4302378.0,85.0,64873.48,2096.0
4302402.0,653.0,435052.91,12294.0
4302451.0,339.0,153755.908,6247.0
4302501.0,214.0,260907.377,5890.0
4302584.0,81.0,133110.457,2151.0
4302600.0,113.0,96634.109,3268.0
4302659.0,313.0,113650.857,4966.0
4302709.0,849.0,545589.911,19084.0
4302808.0,1499.0,1071097.708,32515.0
4302907.0,378.0,417324.302,11157.0
4303004.0,3750.0,3408150.105,80070.0
4303103.0,8151.0,7094389.726,136258.0
4303202.0,212.0,135719.78,4603.0
4303301.0,273.0,178309.372,4704.0
4303400.0,203.0,123647.21,4836.0
4303509.0,3627.0,2849113.962,62200.0
4303558.0,156.0,605446.498,2981.0
4303608.0,483.0,248068.831,6361.0
4303673.0,149.0,184638.656,3242.0
4303707.0,321.0,174020.773,5882.0
4303806.0,340.0,330120.902,5284.0
4303905.0,4803.0,3896594.538,62886.0
4304002.0,350.0,262942.9,4975.0
4304101.0,216.0,103162.752,3613.0
4304200.0,1129.0,1106858.099,28906.0
4304309.0,333.0,329600.325,6294.0
4304358.0,417.0,2165913.963,10710.0
4304408.0,3701.0,1782780.568,48946.0
4304507.0,1716.0,1653207.184,49680.0
4304606.0,19926.0,28818822.755,347657.0
4304614.0,97.0,55371.614,1656.0
4304622.0,86.0,232999.989,1733.0
4304630.0,5395.0,2132259.562,63594.0
4304655.0,104.0,276461.95,3119.0
4304663.0,741.0,784508.083,26487.0
4304671.0,297.0,392771.731,3991.0
4304689.0,375.0,275619.646,11159.0
4304697.0,129.0,83791.427,2921.0
4304705.0,3743.0,4263664.455,61804.0
4304713.0,234.0,132726.805,7394.0
4304804.0,2306.0,3384037.833,30420.0
4304853.0,60.0,54403.298,1368.0
4304903.0,835.0,747422.851,9465.0
4304952.0,189.0,165298.779,3000.0
4305009.0,400.0,425148.141,8674.0
4305108.0,37061.0,34342096.943,463501.0
4305116.0,139.0,96415.597,2721.0
4305124.0,135.0,158653.478,5808.0
4305132.0,135.0,87040.015,3802.0
4305157.0,112.0,65563.242,2379.0
4305173.0,340.0,217108.381,9178.0
4305207.0,765.0,784741.519,13705.0
4305306.0,548.0,618858.417,9540.0
4305355.0,1608.0,1828633.906,35012.0
4305371.0,107.0,127992.873,2768.0
4305405.0,236.0,241091.556,3913.0
4305439.0,607.0,422833.735,6262.0
4305447.0,138.0,142419.768,4597.0
4305454.0,673.0,364733.296,17071.0
4305504.0,305.0,225963.634,4149.0
4305587.0,180.0,76751.207,2423.0
4305603.0,180.0,241830.374,3258.0
4305702.0,433.0,503407.174,6406.0
4305801.0,701.0,442900.902,10385.0
4305835.0,66.0,46505.291,1290.0
4305850.0,126.0,154515.936,2211.0
4305871.0,173.0,181360.108,2822.0
4305900.0,303.0,359353.786,6144.0
4305934.0,74.0,45945.009,1607.0
4305959.0,256.0,167746.445,3846.0
4305975.0,138.0,299358.419,2667.0
4306007.0,599.0,493118.613,12886.0
4306056.0,330.0,332135.753,7299.0
4306072.0,112.0,85679.559,2692.0
4306106.0,3305.0,4121142.616,58913.0
4306130.0,64.0,106377.73,1635.0
4306205.0,640.0,663726.737,11600.0
4306304.0,302.0,193222.088,4321.0
4306320.0,77.0,104475.845,2751.0
4306353.0,64.0,48710.781,2507.0
4306379.0,94.0,180077.877,2806.0
4306403.0,2010.0,2502140.829,30709.0
4306429.0,75.0,126526.522,2090.0
4306452.0,270.0,157965.944,3097.0
4306502.0,390.0,341143.355,13051.0
4306551.0,140.0,70195.789,2562.0
4306601.0,1456.0,2000957.742,36981.0
4306700.0,140.0,90196.092,3079.0
4306734.0,167.0,236102.657,4470.0
4306759.0,116.0,75699.322,1888.0
4306767.0,1651.0,2442465.498,39559.0
4306809.0,1891.0,1230651.48,22962.0
4306908.0,1020.0,1103750.562,23819.0
4306924.0,58.0,54280.199,1296.0
4306932.0,392.0,487687.32,9158.0
4306957.0,180.0,212452.598,2685.0
4306973.0,128.0,202451.954,3054.0
4307005.0,8911.0,7683906.541,105705.0
4307054.0,243.0,184105.502,3034.0
4307104.0,231.0,198899.403,6191.0
4307203.0,231.0,151707.859,4930.0
4307302.0,299.0,273787.354,6787.0
4307401.0,183.0,298731.573,3195.0
4307450.0,107.0,92397.756,3226.0
4307500.0,970.0,881528.817,15173.0
4307559.0,394.0,434148.219,5582.0
4307609.0,3274.0,1991876.841,47924.0
4307708.0,4278.0,4301274.541,76137.0
4307807.0,2522.0,2197231.744,32183.0
4307815.0,119.0,135369.492,3070.0
4307831.0,136.0,244029.467,2633.0
4307864.0,174.0,176738.967,2566.0
4307906.0,4987.0,4580129.131,70286.0
4308003.0,484.0,252774.822,6702.0
4308052.0,117.0,79769.22,2520.0
4308078.0,260.0,126583.352,4291.0
4308102.0,988.0,589303.435,13764.0
4308201.0,3093.0,2843723.297,30892.0
4308250.0,76.0,83641.384,1668.0
4308300.0,466.0,229958.285,9550.0
4308409.0,194.0,223399.42,6413.0
4308433.0,102.0,53273.129,2393.0
4308458.0,277.0,335874.143,4477.0
4308508.0,2626.0,1568643.176,32627.0
4308607.0,3468.0,3135768.835,34335.0
4308656.0,102.0,128026.982,2688.0
